id,name,kana,city,type,dish,hours,closed,status,blog,parking,slug,lat,lng
80,手織うどん 滝音,たきおと,三木町,セルフ,,10:00〜15:00,月曜（祝日は営業・翌火曜休）,,https://kagawan.com/takine/,あり（64台）,takine,34.252922,134.138806
81,多田製麺所,ただ,三木町,製麺所,,8:00〜15:00,火曜,,https://kagawan.com/tadaseimenjo/,あり（第一3台・第二あり）,tadaseimenjo,34.272805,134.124514
82,めりけんや 高松駅前店,めりけんやたかまつえきまえてん,高松市,セルフ,,7:00〜20:00,年中無休,,,なし,merikenya-takamatsu,34.349763,134.047279
83,めりけんや サンポート店,めりけんやさんぽーとてん,高松市,セルフ,,11:00〜14:00,土曜日・日曜日,,,なし,merikenya-sunport,34.349927,134.041645
84,めりけんや かけはし店,めりけんやかけはしてん,宇多津町,セルフ,,9:00〜15:00,年中無休,,,あり,merikenya-kakehashi,34.317106,133.820264
85,めりけんや 丸亀店,めりけんやまるがめてん,丸亀市,セルフ,,月〜金 9:00〜15:00、土日 7:00〜15:00,年中無休,,,あり,merikenya-marugame,34.294159,133.785535
86,うどん亭 いわせ,いわせ,さぬき市,一般,,10:30〜19:00,日曜日・月曜日,,,あり,iwase,34.251188,134.186558
87,手打ちうどん 古奈や,こなや,高松市,セルフ,,7:00〜15:00,日曜日,,,あり,konaya,34.308827,134.009829
88,ふる里うどん,ふるさと,高松市,セルフ,,11:00〜15:00,水曜日,,,あり,furusato,34.275670,134.100653
89,手打ちうどん 上田,うえだ,高松市,セルフ,,9:00〜14:00,月曜日,,,あり,teuchiudon-ueda,34.300026,134.046246
90,吉本食品,よしもとしょくひん,東かがわ市,製麺所,,8:00〜14:00,日曜日,,,あり（15台）,yoshimotoshokuhin,34.250549,134.339683
91,山賊村,さんぞくむら,東かがわ市,一般,,11:00〜14:00（日曜日のみ14:30まで営業）,月曜日・土曜日,,,あり（15台）,sanzokumura,34.195429,134.333208
92,麺工房 六車,むぐるま,東かがわ市,一般,,11:00〜13:30,月曜日,,,あり（20台）,muguruma,34.246300,134.350168
93,本場さぬき うどんや,うどんや,東かがわ市,セルフ,,9:15〜15:00,年中無休,,,あり（20台）,udonya,34.208297,134.433395
94,マルタツ手打ちうどん 伊座本店,まるたつ,東かがわ市,一般,,8:00〜14:30,水曜日・土曜日・日曜日,,,あり（30台）,marutatsu,34.233305,134.383222
95,元匠 湊店,げんしょうみなと,東かがわ市,セルフ,,6:00〜15:00,年中無休,,,あり（80台）,gensho-minato,34.247594,134.343855
96,元匠 東かがわ店,げんしょうひがしかがわ,東かがわ市,セルフ,,平日11:00〜14:00・土日祝10:00〜15:00,年中無休,,,あり（40台）,gensho-higashikagawa,34.247594,134.343855
97,手打ちうどん もとい,もとい,東かがわ市,一般,,11:00〜14:00,日曜日,,,あり（14台）,motoi,34.244424,134.354808
98,うどん亭 よだ,よだ,東かがわ市,一般,,11:30〜14:00,月曜日〜木曜日,,,あり,yoda,34.250790,134.322849
99,手打ちうどん むさし,むさし,琴平町,一般,,10:00〜15:00／17:00〜20:00,月・火曜,,https://kagawan.com/musashi/,あり（無料・共同195台）,musashi,34.189880,133.828688
100,こんぴらうどん 表参道店,こんぴらうどん,琴平町,一般,,平日10:00〜16:00／土日祝9:00〜16:00,年中無休,,https://kagawan.com/udon-kotohira/,あり（無料）,konpiraudon-sando,34.186992,133.817912
101,こんぴらうどん 工場店,こんぴらうどん,琴平町,一般,,8:00〜15:00,火〜金曜,,https://kagawan.com/udon-kotohira/,あり（3台）,konpiraudon-kojo,34.189554,133.816479
102,こんぴらうどん 北店,こんぴらうどん,琴平町,一般,,8:00〜16:00,月〜金曜,,https://kagawan.com/udon-kotohira/,なし,konpiraudon-kita,34.188239,133.819225
103,手打ちうどん てんてこ舞,てんてこまい,琴平町,一般,,9:30〜16:00,水曜,,https://kagawan.com/udon-kotohira/,あり（有料）,tentekomai,34.187916,133.819286
104,セルフうどん いわのや,いわのや,琴平町,セルフ,,10:30〜15:00,日曜,,https://kagawan.com/udon-kotohira/,あり（無料）,iwanoya,34.189565,133.822816
105,虎屋うどん,とらやうどん,琴平町,一般,,9:00〜16:00,年中無休,,https://kagawan.com/udon-kotohira/,なし,torayaudon,34.186728,133.817799
106,讃岐うどん めん舟,めんふね,琴平町,一般,,火〜金10:00〜14:00／土日10:00〜15:00,月曜,,https://kagawan.com/udon-kotohira/,あり,menfune,34.197891,133.819113
107,はなまるうどん 高松兵庫町店,はなまるうどん たかまつひょうごまちてん,高松市,セルフ,,10:00-21:30,年中無休,,,あり,hanamaruudon-takamatsu-hyogomachi,34.346185,134.049080
108,はなまるうどん 高松円座店,はなまるうどん たかまつえんざてん,高松市,セルフ,,10:00-21:30,年中無休,,,あり,hanamaruudon-takamatsu-enza,34.291213,134.009743
109,はなまるうどん×吉野家 ゆめタウン高松店,はなまるうどんよしのや ゆめたうんたかまつてん,高松市,セルフ,,10:00-21:00,年中無休,,,あり,hanamaruudon-yoshinoya-yume-town-takamatsu,34.315942,134.043169
110,はなまるうどん 多肥店,はなまるうどん たひてん,高松市,セルフ,,【平日】10:00-21:00【土日】7:00-21:00,年中無休,,,あり,hanamaruudon-tahi,34.298214,134.057507
111,はなまるうどん 田町店,はなまるうどん たまちてん,高松市,セルフ,,10:00-21:30,年中無休,,,あり,hanamaruudon-tamachi,34.338571,134.049245
112,はなまるうどん TKMT本店,はなまるうどん たかまつほんてん,高松市,セルフ,,2026年7月中旬オープン予定,年中無休,,,あり,hanamaruudon-tkmt-honten,34.328842,134.065042
113,はなまるうどん 高松三条店,はなまるうどん たかまつさんじょうてん,高松市,セルフ,,10:00-21:30,年中無休,,,あり,hanamaruudon-takamatsu-sanjo,34.315212,134.046351
114,はなまるうどん 高松中央インター店,はなまるうどん たかまつちゅうおういんたーてん,高松市,セルフ,,10:00-22:00,年中無休,,,あり,hanamaruudon-takamatsu-chuo-inter,34.310251,134.072913
115,はなまるうどん 丸亀城西店,はなまるうどん まるがめじょうせいてん,丸亀市,セルフ,,10:00-22:00,年中無休,,,あり,hanamaruudon-marugame-jonishi,34.283041,133.796510
116,はなまるうどん イオンモール綾川店,はなまるうどん いおんもーるあやがわてん,綾川町,セルフ,,10:00-21:00,年中無休,,,あり,hanamaruudon-aeon-mall-ayagawa,34.251671,133.930687
117,はなまるうどん ゆめタウン三豊店,はなまるうどん ゆめたうんみとよてん,三豊市,セルフ,,10:00-20:00,年中無休,,,あり,hanamaruudon-yume-town-mitoyo,34.145447,133.699574
118,はなまるうどん×吉野家 マルナカ観音寺駅南店,はなまるうどんよしのや まるなかかんおんじえきみなみてん,観音寺市,セルフ,,10:00-21:30,年中無休,,,あり,hanamaruudon-yoshinoya-marunaka-kanonji-eki-minami,34.123428,133.655911
119,はなまるうどん 志度店,はなまるうどん しどてん,さぬき市,セルフ,,10:00-22:00,年中無休,,,あり,hanamaruudon-shido,34.320558,134.177599
120,はなまるうどん 坂出白金店,はなまるうどん さかいでしろがねてん,坂出市,セルフ,,10:30-20:30,年中無休,,,あり,hanamaruudon-sakaide-shirogane,34.317430,133.847783
121,いけこうどん,いけこ,多度津町,一般,,10:00〜15:00,月曜,,https://kagawan.com/ikekoudon/,あり（約14台）,ikekoudon,34.271463,133.744603
122,釜出しさぬきうどんめん一,めんいち,多度津町,セルフ,,10:30〜15:00,年中無休,,,あり,menichi,34.242243,133.748211
123,中村うどん,なかむらうどん,丸亀市,セルフ,,10:00〜14:00（玉切れ次第終了）,金曜日,,,あり,kanji-nakamuraudon,34.300399,133.807368
124,手打ちうどん 歩,てうちうどん あゆみ,丸亀市,一般,,10:30〜17:00,火曜日（祝日の場合は営業）,,,あり,ayumi,34.265061,133.836282
125,手打うどん まごころ,てうちうどん まごころ,丸亀市,セルフ,,6:00〜16:00,元日のみ,,,あり,magokoro,34.295413,133.781841
126,手打うどん 飯野屋,てうちうどん いいのや,丸亀市,一般,,9:00〜15:00,月曜日・第4火曜日,,,あり,iinoya,34.280918,133.827718
127,純手打うどん 山とも,じゅんてうちうどん やまとも,丸亀市,セルフ,,9:00〜14:00（玉切れ次第終了）,日曜日,,,あり,yamatomo,34.298631,133.810560
128,セルフうどん かまや,せるふうどん かまや,坂出市,セルフ,,9:00〜15:00,木曜日,,,あり,self-udon-kamaya,34.299391,133.846693
129,セルフうどんさぬきまるふじ 本店,せるふうどんさぬきまるふじ ほんてん,坂出市,セルフ,,10:00〜15:00,水曜日,,,あり,self-udon-sanuki-marufuji-honten,34.329939,133.883199
130,手打うどん 町川,てうちうどん まちかわ,坂出市,一般,,10:00〜14:00,月曜日,,,あり,teuchi-udon-machikawa,34.343294,133.915013
131,いきいきうどん 坂出店,いきいきうどん さかいでてん,坂出市,セルフ,,5:00〜15:30,元日のみ,,,あり,ikiikiudon-sakaide,34.318267,133.858721
132,川川うどん,かわかわうどん,善通寺市,一般,,11:00～14:00（玉切れ次第終了）,火曜日・水曜日,,,あり,kawakawaudon,34.242403,133.789261
133,さぬきうどん穂の花,さぬきうどん ほのはな,善通寺市,セルフ,,10:30〜14:30（土日祝は15:00）,木曜日,,,あり,honoka,34.199346,133.811980
134,善通寺・四國館,ぜんつうじ・しこくかん,善通寺市,一般,,10:00～16:00,不定休,,,あり,zentsuji-shikokukan,34.236363,133.815113
135,ジャンボうどん 高木,じゃんぼうどん たかぎ,善通寺市,一般,,8:30〜14:00（玉切れ次第終了）,日曜日・祝日,,,あり,jumbo-udon-takagi,34.250416,133.793589
136,三好うどん,みよしうどん,三豊市,一般,,10:00〜14:00,日曜日・祝日,,,あり,miyoshi-udon,34.182336,133.692296
137,SIRAKAWA,しらかわ,三豊市,一般,,11:00〜13:30,月曜日,,,あり,sirakawa,34.123061,133.718879
138,手打ちうどん 渡辺,てうちうどん わたなべ,三豊市,一般,,10:30〜15:00,木曜日,,,あり,teuchi-udon-watanabe,34.179416,133.717203
139,上杉食品,うえすぎしょくひん,三豊市,セルフ,,6:30〜8:00（土日は9:00まで）,月曜日・第1火曜日,,,あり,uesugishokuhin,34.143509,133.714982
140,本格手打ちうどん もり,ほんかくてうちうどん もり,三豊市,一般,,10:00〜14:00,火曜日,,,あり,honkaku-teuchi-udon-mori,34.171413,133.748865
